Sample 	Position mm	Wake Dynamic 	Wake Static relative to atmosphere	WT Dynamic	WT Static relative to atmosphere	Temperature	Barometric Pressure
Number	Conversion Factor	mm H2o = V / 0.01969	mm H2o = V / 0.0198	mm H2o = V / 0.0255	mm H2o = V / 0.0198	Deg C = V / 0.1	mm Hg = V / 0.0222222+ 600
108	215	0.478	0.007	0.647	0.054	1.785	3.582
109	220	0.488	0.016	0.644	0.052	1.784	3.582
110	225	0.492	0.015	0.644	0.056	1.787	3.582
111	230	0.493	0.018	0.642	0.054	1.787	3.582
112	235	0.494	0.022	0.647	0.054	1.786	3.582
113	240	0.495	0.027	0.645	0.052	1.787	3.582
114	245	0.498	0.025	0.644	0.053	1.788	3.582
115	250	0.49	0.03	0.641	0.052	1.788	3.582
116	255	0.5	0.031	0.639	0.053	1.789	3.582
117	260	0.493	0.035	0.637	0.053	1.789	3.582
118	265	0.504	0.033	0.64	0.053	1.788	3.582
119	270	0.505	0.045	0.641	0.051	1.79	3.582
120	275	0.496	0.041	0.638	0.053	1.79	3.582
121	280	0.493	0.038	0.637	0.052	1.79	3.582
122	285	0.504	0.043	0.638	0.054	1.791	3.582
123	290	0.497	0.044	0.639	0.053	1.791	3.582
124	295	0.496	0.045	0.639	0.053	1.791	3.582
125	300	0.5	0.045	0.639	0.054	1.791	3.582
126	305	0.503	0.048	0.635	0.052	1.792	3.582
127	310	0.497	0.041	0.637	0.052	1.792	3.582
128	315	0.499	0.054	0.64	0.054	1.792	3.582
129	320	0.502	0.05	0.642	0.053	1.793	3.582
