Sample 	Position mm	Wake Dynamic 	Wake Static relative to atmosphere	WT Dynamic	WT Static relative to atmosphere	Temperature	Barometric Pressure
Number	Conversion Factor	mm H2o = V / 0.01969	mm H2o = V / 0.0198	mm H2o = V / 0.0255	mm H2o = V / 0.0198	Deg C = V / 0.1	mm Hg = V / 0.0222222+ 600
111	230	1.441	0.164	1.961	0.088	2.814	3.688
112	235	1.44	0.165	1.963	0.088	2.817	3.688
113	240	1.442	0.165	1.962	0.089	2.819	3.688
114	245	1.442	0.161	1.962	0.09	2.82	3.688
115	250	1.447	0.162	1.965	0.089	2.82	3.688
116	255	1.444	0.16	1.96	0.087	2.822	3.688
117	260	1.448	0.162	1.964	0.091	2.823	3.689
118	265	1.45	0.161	1.961	0.084	2.825	3.689
119	270	1.442	0.161	1.965	0.087	2.828	3.689
120	275	1.452	0.161	1.969	0.09	2.829	3.689
121	280	1.449	0.16	1.966	0.086	2.831	3.689
122	285	1.456	0.159	1.969	0.087	2.832	3.689
123	290	1.459	0.158	1.968	0.09	2.834	3.689
124	295	1.454	0.158	1.965	0.089	2.836	3.689
125	300	1.453	0.157	1.964	0.09	2.838	3.689
126	305	1.459	0.158	1.963	0.087	2.84	3.689
127	310	1.462	0.156	1.96	0.088	2.841	3.689
128	315	1.461	0.155	1.965	0.09	2.843	3.689
129	320	1.461	0.156	1.966	0.089	2.843	3.689
