Sample 	Position mm	Wake Dynamic 	Wake Static relative to atmosphere	WT Dynamic	WT Static relative to atmosphere	Temperature	Barometric Pressure
Number	Conversion Factor	mm H2o = V / 0.01969	mm H2o = V / 0.0198	mm H2o = V / 0.0255	mm H2o = V / 0.0198	Deg C = V / 0.1	mm Hg = V / 0.0222222+ 600
111	230	0.975	0.079	1.311	0.053	1.669	3.725
112	235	0.979	0.092	1.311	0.052	1.67	3.725
113	240	0.981	0.094	1.314	0.052	1.671	3.725
114	245	0.977	0.09	1.303	0.052	1.671	3.725
115	250	0.987	0.09	1.31	0.049	1.672	3.725
116	255	0.983	0.093	1.306	0.049	1.675	3.725
117	260	0.986	0.084	1.32	0.053	1.675	3.725
118	265	0.999	0.094	1.322	0.054	1.676	3.725
119	270	0.986	0.104	1.31	0.051	1.676	3.725
120	275	0.99	0.095	1.311	0.049	1.678	3.725
121	280	0.989	0.102	1.316	0.052	1.677	3.725
122	285	0.982	0.1	1.311	0.053	1.679	3.725
123	290	0.995	0.103	1.309	0.054	1.681	3.725
124	295	0.994	0.102	1.319	0.051	1.682	3.725
125	300	0.998	0.101	1.317	0.051	1.685	3.725
126	305	0.996	0.102	1.318	0.052	1.684	3.725
127	310	0.994	0.098	1.314	0.051	1.685	3.725
128	315	0.999	0.104	1.318	0.053	1.685	3.725
129	320	0.992	0.105	1.316	0.053	1.688	3.725
